		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	beta[258]	0.01853	0.06988	0.00187	-0.117	0.1604	7001	1000
	beta[259]	-0.09129	0.0717	0.002468	-0.235	0.04756	7001	1000
	beta[260]	0.002367	0.07161	0.001758	-0.1326	0.1354	7001	1000
	beta[261]	0.0254	0.09352	0.003024	-0.156	0.2002	7001	1000
	beta[262]	-0.03856	0.06955	0.001813	-0.1676	0.09775	7001	1000
	beta[263]	-0.0751	0.07813	0.002685	-0.2286	0.07212	7001	1000
	beta[264]	-0.04095	0.09527	0.002831	-0.2297	0.1544	7001	1000
	beta[265]	0.03856	0.06715	0.001962	-0.09349	0.1712	7001	1000
	beta[266]	-0.1587	0.07508	0.001967	-0.3031	-0.01499	7001	1000
	beta[267]	0.0814	0.06942	0.002675	-0.05327	0.2186	7001	1000
	beta[268]	0.02358	0.07163	0.001977	-0.1162	0.1624	7001	1000
	beta[269]	0.01678	0.08332	0.002708	-0.1409	0.1882	7001	1000
	beta[270]	-0.1031	0.07121	0.00213	-0.2414	0.03523	7001	1000
	beta[271]	-0.0321	0.09107	0.002495	-0.2131	0.1424	7001	1000
	beta[272]	0.02474	0.07331	0.00238	-0.1183	0.1756	7001	1000
	beta[273]	0.05368	0.08882	0.002672	-0.118	0.2215	7001	1000
	beta[274]	-0.05207	0.07179	0.002293	-0.1927	0.09038	7001	1000
	beta[275]	0.1356	0.07151	0.002113	-0.001908	0.2813	7001	1000
	beta[276]	-0.08436	0.07345	0.002284	-0.2338	0.05756	7001	1000
	beta[277]	-0.05141	0.08878	0.002619	-0.2288	0.117	7001	1000
	beta[278]	-0.01038	0.08849	0.002436	-0.1865	0.1596	7001	1000
	beta[279]	0.03094	0.09658	0.00326	-0.1624	0.217	7001	1000
	beta[280]	0.08375	0.082	0.002955	-0.06601	0.2422	7001	1000
	beta[281]	0.02117	0.08792	0.002816	-0.1572	0.1957	7001	1000
	beta[282]	-0.01594	0.09016	0.002714	-0.1969	0.1572	7001	1000
	beta[283]	0.05599	0.072	0.002361	-0.07835	0.1949	7001	1000
	beta[284]	-0.02981	0.09134	0.002681	-0.2095	0.1434	7001	1000
	beta[285]	0.1348	0.08685	0.003071	-0.02916	0.3086	7001	1000
	beta[286]	0.005857	0.08837	0.0035	-0.173	0.1765	7001	1000
	beta[287]	0.03267	0.09891	0.002817	-0.1582	0.2369	7001	1000
	beta[288]	-0.01576	0.09331	0.003004	-0.1917	0.1687	7001	1000
	beta[289]	0.07601	0.09625	0.003096	-0.1037	0.2704	7001	1000
	beta[290]	-0.001315	0.08927	0.002792	-0.1743	0.1758	7001	1000
	beta[291]	0.005565	0.08646	0.00254	-0.1594	0.1808	7001	1000
	beta[292]	0.03382	0.08964	0.002691	-0.1377	0.2088	7001	1000
	beta[293]	0.008171	0.09806	0.003216	-0.1827	0.204	7001	1000
	beta[294]	0.05367	0.08694	0.002547	-0.1055	0.2251	7001	1000
	beta[295]	-0.001854	0.08904	0.002885	-0.1875	0.1626	7001	1000
	beta[296]	-0.0205	0.08649	0.002526	-0.189	0.152	7001	1000
	beta[297]	0.07197	0.08799	0.003285	-0.09954	0.2432	7001	1000
	beta[298]	-0.002429	0.09064	0.002618	-0.1878	0.172	7001	1000
	beta[299]	-0.01921	0.08899	0.002287	-0.1948	0.1487	7001	1000
	beta[300]	0.06482	0.09255	0.003671	-0.107	0.2571	7001	1000
