		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[210]	2.733	0.3614	0.03907	2.027	3.414	7001	1000
	alpha[211]	1.645	0.3153	0.03057	1.04	2.269	7001	1000
	alpha[212]	3.939	0.4225	0.03715	3.065	4.756	7001	1000
	alpha[213]	1.49	0.369	0.0437	0.722	2.191	7001	1000
	alpha[214]	3.422	0.3903	0.04044	2.603	4.173	7001	1000
	alpha[215]	2.447	0.4318	0.04058	1.603	3.268	7001	1000
	alpha[216]	3.298	0.4303	0.04036	2.438	4.095	7001	1000
	alpha[217]	3.887	0.423	0.03587	3.011	4.726	7001	1000
	alpha[218]	3.039	0.6563	0.03447	1.771	4.321	7001	1000
	alpha[219]	3.927	0.3886	0.04048	3.16	4.639	7001	1000
	alpha[220]	4.25	0.6663	0.0417	2.943	5.576	7001	1000
	alpha[221]	2.891	0.458	0.0393	1.98	3.772	7001	1000
	alpha[222]	2.032	0.3973	0.0421	1.245	2.803	7001	1000
	alpha[223]	2.877	0.4325	0.03769	1.979	3.67	7001	1000
	alpha[224]	4.49	0.424	0.03992	3.633	5.287	7001	1000
	alpha[225]	4.26	0.3323	0.02916	3.623	4.909	7001	1000
	alpha[226]	4.489	0.3783	0.02933	3.783	5.238	7001	1000
	alpha[227]	3.288	0.3877	0.04164	2.444	4.059	7001	1000
	alpha[228]	2.997	0.4012	0.03785	2.209	3.765	7001	1000
	alpha[229]	3.257	0.3966	0.03666	2.493	4.024	7001	1000
	alpha[230]	2.49	0.4698	0.04021	1.513	3.408	7001	1000
	alpha[231]	2.013	0.3594	0.03406	1.258	2.68	7001	1000
	alpha[232]	4.062	0.654	0.04303	2.789	5.289	7001	1000
	alpha[233]	3.916	0.4333	0.0401	3.084	4.759	7001	1000
	alpha[234]	4.478	0.515	0.03558	3.457	5.503	7001	1000
	alpha[235]	2.835	0.3766	0.03753	2.087	3.522	7001	1000
	alpha[236]	2.775	0.3799	0.03615	1.99	3.509	7001	1000
	alpha[237]	2.998	0.3748	0.03588	2.248	3.727	7001	1000
	alpha[238]	3.72	0.3747	0.03805	2.943	4.437	7001	1000
	alpha[239]	3.876	0.5738	0.02367	2.729	4.994	7001	1000
	alpha[240]	2.492	0.4601	0.03749	1.589	3.377	7001	1000
	alpha[241]	3.035	0.3771	0.03659	2.269	3.757	7001	1000
	alpha[242]	1.887	0.4173	0.03802	1.032	2.741	7001	1000
	alpha[243]	1.535	0.4147	0.04203	0.7319	2.326	7001	1000
	alpha[244]	3.811	0.6129	0.04518	2.636	5.067	7001	1000
	alpha[245]	3.757	0.4018	0.03795	2.944	4.542	7001	1000
	alpha[246]	3.723	0.5126	0.0375	2.72	4.681	7001	1000
	alpha[247]	3.124	0.3199	0.03237	2.442	3.72	7001	1000
	alpha[248]	2.443	0.4073	0.03916	1.571	3.264	7001	1000
	alpha[249]	3.032	0.4156	0.03892	2.175	3.855	7001	1000
	alpha[250]	3.227	0.3984	0.03605	2.417	3.984	7001	1000
	alpha[251]	3.281	0.6091	0.04539	2.019	4.473	7001	1000
	alpha[252]	3.609	0.3698	0.03752	2.902	4.32	7001	1000
	alpha[253]	2.429	0.4088	0.04097	1.561	3.215	7001	1000
	alpha[254]	4.417	0.6301	0.04244	3.203	5.655	7001	1000
	alpha[255]	3.011	0.412	0.04289	2.181	3.821	7001	1000
	alpha[256]	1.801	0.4099	0.03877	1.005	2.596	7001	1000
	alpha[257]	1.708	0.4102	0.04144	0.8364	2.491	7001	1000
	alpha[258]	3.239	0.419	0.04158	2.397	4.063	7001	1000
	alpha[259]	4.417	0.3494	0.03287	3.72	5.088	7001	1000
	alpha[260]	2.387	0.3933	0.03725	1.544	3.121	7001	1000
	alpha[261]	3.192	0.5844	0.04025	1.984	4.313	7001	1000
	alpha[262]	2.698	0.4041	0.03817	1.866	3.464	7001	1000
	alpha[263]	3.102	0.4486	0.04037	2.228	3.956	7001	1000
	alpha[264]	4.189	0.592	0.04168	3.013	5.362	7001	1000
	alpha[265]	3.894	0.3338	0.03361	3.208	4.512	7001	1000
	alpha[266]	2.999	0.393	0.03914	2.205	3.779	7001	1000
	alpha[267]	4.365	0.3748	0.03717	3.606	5.11	7001	1000
	alpha[268]	3.834	0.4022	0.03668	3.043	4.567	7001	1000
	alpha[269]	1.622	0.4534	0.03687	0.7205	2.512	7001	1000
	alpha[270]	3.841	0.3956	0.03657	3.054	4.601	7001	1000
	alpha[271]	4.568	0.4961	0.0406	3.565	5.507	7001	1000
