		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[253]	2.8	0.4111	0.0334	1.974	3.624	2000	1000
	alpha[254]	4.596	0.5897	0.03108	3.501	5.745	2000	1000
	alpha[255]	3.308	0.4063	0.03229	2.546	4.139	2000	1000
	alpha[256]	2.213	0.4356	0.03538	1.376	3.057	2000	1000
	alpha[257]	2.1	0.4027	0.03299	1.369	2.899	2000	1000
	alpha[258]	3.581	0.415	0.03195	2.809	4.443	2000	1000
	alpha[259]	4.435	0.3489	0.02793	3.779	5.15	2000	1000
	alpha[260]	2.702	0.4057	0.02951	1.89	3.469	2000	1000
	alpha[261]	3.617	0.5588	0.0309	2.592	4.825	2000	1000
	alpha[262]	2.951	0.4146	0.03182	2.163	3.733	2000	1000
	alpha[263]	3.554	0.4696	0.03204	2.618	4.407	2000	1000
	alpha[264]	4.435	0.5345	0.02182	3.387	5.439	2000	1000
	alpha[265]	4.187	0.3601	0.03212	3.512	4.93	2000	1000
	alpha[266]	3.317	0.4014	0.03054	2.561	4.113	2000	1000
	alpha[267]	4.557	0.3854	0.03344	3.834	5.346	2000	1000
	alpha[268]	4.12	0.4168	0.03073	3.308	4.96	2000	1000
	alpha[269]	2.058	0.4563	0.03123	1.179	2.987	2000	1000
	alpha[270]	4.148	0.4093	0.03175	3.332	4.924	2000	1000
	alpha[271]	4.854	0.4568	0.03102	3.911	5.718	2000	1000
	alpha[272]	3.571	0.4047	0.03099	2.748	4.367	2000	1000
	alpha[273]	4.661	0.4637	0.03322	3.729	5.58	2000	1000
	alpha[274]	2.253	0.4243	0.03719	1.451	3.086	2000	1000
	alpha[275]	3.844	0.422	0.03562	3.012	4.658	2000	1000
	alpha[276]	4.776	0.3676	0.03089	4.057	5.496	2000	1000
	alpha[277]	2.453	0.4586	0.03409	1.549	3.349	2000	1000
	alpha[278]	2.076	0.4754	0.03576	1.105	3.036	2000	1000
	alpha[279]	3.558	0.5545	0.03495	2.424	4.713	2000	1000
	alpha[280]	3.804	0.3446	0.02228	3.122	4.473	2000	1000
	alpha[281]	2.818	0.4706	0.03796	1.841	3.704	2000	1000
	alpha[282]	2.013	0.4811	0.03693	1.071	2.954	2000	1000
	alpha[283]	4.325	0.3639	0.02841	3.582	5.05	2000	1000
	alpha[284]	3.215	0.4707	0.03507	2.311	4.12	2000	1000
	alpha[285]	4.267	0.4609	0.03312	3.401	5.213	2000	1000
	alpha[286]	4.204	0.4542	0.02881	3.325	5.102	2000	1000
	alpha[287]	3.506	0.5586	0.0342	2.428	4.572	2000	1000
	alpha[288]	2.888	0.5604	0.03163	1.85	4.023	2000	1000
	alpha[289]	4.586	0.572	0.03027	3.493	5.705	2000	1000
	alpha[290]	2.622	0.4575	0.03065	1.743	3.524	2000	1000
	alpha[291]	2.886	0.4851	0.03317	1.919	3.84	2000	1000
	alpha[292]	4.296	0.4705	0.03414	3.397	5.2	2000	1000
	alpha[293]	4.065	0.5729	0.03304	2.962	5.172	2000	1000
	alpha[294]	3.594	0.4818	0.03334	2.605	4.491	2000	1000
	alpha[295]	2.87	0.5678	0.03496	1.723	3.96	2000	1000
	alpha[296]	2.847	0.5749	0.03809	1.751	4.023	2000	1000
	alpha[297]	3.49	0.5739	0.03626	2.413	4.651	2000	1000
	alpha[298]	3.342	0.5835	0.03892	2.234	4.556	2000	1000
	alpha[299]	2.897	0.5525	0.03626	1.862	4.059	2000	1000
	alpha[300]	3.996	0.5736	0.03345	2.859	5.128	2000	1000
