		mean	sd	MC_error	val2.5pc	val97.5pc	start	sample
	alpha[184]	2.744	0.4185	0.04236	1.915	3.57	3000	1000
	alpha[185]	3.476	0.3776	0.04017	2.719	4.206	3000	1000
	alpha[186]	0.9291	0.3971	0.0456	0.1833	1.698	3000	1000
	alpha[187]	1.713	0.4483	0.05098	0.8394	2.569	3000	1000
	alpha[188]	1.745	0.4039	0.05105	0.947	2.519	3000	1000
	alpha[189]	1.405	0.3871	0.04658	0.6671	2.198	3000	1000
	alpha[190]	2.923	0.4438	0.05032	2.047	3.748	3000	1000
	alpha[191]	2.965	0.4409	0.05105	2.118	3.829	3000	1000
	alpha[192]	3.373	0.4178	0.04408	2.569	4.209	3000	1000
	alpha[193]	1.444	0.3987	0.04512	0.6864	2.267	3000	1000
	alpha[194]	2.902	0.3946	0.04302	2.153	3.698	3000	1000
	alpha[195]	3.565	0.3952	0.04792	2.805	4.342	3000	1000
	alpha[196]	1.414	0.4245	0.04773	0.5559	2.288	3000	1000
	alpha[197]	1.112	0.4218	0.03544	0.2611	1.937	3000	1000
	alpha[198]	1.539	0.5378	0.04154	0.4778	2.589	3000	1000
	alpha[199]	2.954	0.4207	0.04525	2.103	3.767	3000	1000
	alpha[200]	0.9473	0.4276	0.04689	0.1307	1.765	3000	1000
	alpha[201]	1.19	0.6991	0.04576	-0.1909	2.54	3000	1000
	alpha[202]	2.262	0.3818	0.04685	1.554	3.018	3000	1000
	alpha[203]	2.057	0.3834	0.04579	1.335	2.844	3000	1000
	alpha[204]	3.558	0.4103	0.0424	2.8	4.353	3000	1000
	alpha[205]	3.331	0.3776	0.0396	2.599	4.06	3000	1000
	alpha[206]	2.925	0.5392	0.04878	1.908	4.0	3000	1000
	alpha[207]	2.008	0.5467	0.05191	0.9028	3.087	3000	1000
	alpha[208]	2.501	0.5683	0.05303	1.411	3.589	3000	1000
	alpha[209]	2.601	0.3961	0.03876	1.814	3.411	3000	1000
	alpha[210]	2.456	0.3987	0.04295	1.661	3.263	3000	1000
	alpha[211]	1.074	0.3627	0.03937	0.3755	1.791	3000	1000
	alpha[212]	3.73	0.4388	0.03849	2.895	4.675	3000	1000
	alpha[213]	0.9024	0.4174	0.05153	0.134	1.762	3000	1000
	alpha[214]	3.147	0.4426	0.04811	2.26	4.029	3000	1000
	alpha[215]	1.98	0.4779	0.04721	1.078	2.942	3000	1000
	alpha[216]	2.968	0.4168	0.04503	2.121	3.768	3000	1000
	alpha[217]	3.618	0.4423	0.04197	2.719	4.488	3000	1000
	alpha[218]	2.836	0.7598	0.0441	1.355	4.417	3000	1000
	alpha[219]	3.658	0.4215	0.04407	2.872	4.513	3000	1000
	alpha[220]	4.968	0.6934	0.03807	3.666	6.387	3000	1000
	alpha[221]	2.788	0.4471	0.0397	1.919	3.68	3000	1000
	alpha[222]	1.439	0.4252	0.04779	0.6207	2.262	3000	1000
	alpha[223]	2.295	0.4827	0.04997	1.377	3.22	3000	1000
	alpha[224]	4.194	0.4125	0.04035	3.437	5.011	3000	1000
	alpha[225]	4.016	0.3782	0.03847	3.27	4.78	3000	1000
	alpha[226]	4.615	0.3875	0.03339	3.891	5.369	3000	1000
	alpha[227]	2.696	0.4171	0.04757	1.907	3.519	3000	1000
	alpha[228]	2.862	0.4073	0.04129	2.016	3.62	3000	1000
	alpha[229]	2.875	0.4122	0.04051	2.069	3.714	3000	1000
	alpha[230]	2.118	0.4541	0.04379	1.244	3.02	3000	1000
	alpha[231]	1.329	0.3861	0.04278	0.5987	2.086	3000	1000
	alpha[232]	5.029	0.6984	0.03945	3.657	6.373	3000	1000
	alpha[233]	3.733	0.4593	0.04684	2.837	4.601	3000	1000
	alpha[234]	4.521	0.4958	0.03664	3.586	5.535	3000	1000
	alpha[235]	2.386	0.413	0.04722	1.589	3.176	3000	1000
	alpha[236]	2.247	0.4067	0.04304	1.489	3.037	3000	1000
	alpha[237]	2.512	0.4121	0.04228	1.722	3.307	3000	1000
	alpha[238]	3.401	0.405	0.04019	2.648	4.21	3000	1000
	alpha[239]	4.219	0.6665	0.02461	2.977	5.502	3000	1000
	alpha[240]	1.97	0.5293	0.03908	0.9814	2.992	3000	1000
	alpha[241]	2.47	0.4333	0.04663	1.663	3.351	3000	1000
	alpha[242]	1.232	0.4689	0.04492	0.3351	2.193	3000	1000
	alpha[243]	0.9155	0.4652	0.04747	0.03267	1.888	3000	1000
	alpha[244]	4.119	0.7304	0.04348	2.694	5.556	3000	1000
	alpha[245]	3.718	0.4591	0.04291	2.811	4.613	3000	1000
	alpha[246]	3.467	0.5597	0.05167	2.412	4.535	3000	1000
	alpha[247]	2.868	0.3836	0.03737	2.152	3.666	3000	1000
	alpha[248]	1.896	0.4557	0.04278	1.047	2.787	3000	1000
	alpha[249]	2.566	0.4824	0.05067	1.677	3.536	3000	1000
	alpha[250]	2.926	0.4484	0.04286	2.105	3.805	3000	1000
	alpha[251]	2.979	0.7093	0.04867	1.567	4.427	3000	1000
	alpha[252]	3.529	0.4009	0.03832	2.765	4.307	3000	1000
	alpha[253]	1.916	0.4901	0.05008	0.9379	2.847	3000	1000
	alpha[254]	4.925	0.7165	0.04239	3.578	6.312	3000	1000
	alpha[255]	2.576	0.4724	0.04884	1.67	3.485	3000	1000
	alpha[256]	1.188	0.469	0.04832	0.284	2.09	3000	1000
	alpha[257]	1.06	0.455	0.05127	0.1922	2.006	3000	1000
	alpha[258]	2.824	0.4777	0.04875	1.903	3.771	3000	1000
	alpha[259]	4.36	0.3784	0.03109	3.657	5.093	3000	1000
	alpha[260]	2.053	0.4515	0.03914	1.206	2.923	3000	1000
	alpha[261]	2.992	0.7109	0.05054	1.658	4.344	3000	1000
	alpha[262]	2.157	0.4549	0.04117	1.279	3.048	3000	1000
	alpha[263]	2.927	0.5491	0.04478	1.889	4.047	3000	1000
	alpha[264]	4.994	0.6684	0.03027	3.641	6.219	3000	1000
	alpha[265]	3.796	0.3839	0.04066	3.087	4.545	3000	1000
	alpha[266]	2.574	0.4731	0.04551	1.616	3.491	3000	1000
	alpha[267]	4.067	0.4189	0.04394	3.246	4.869	3000	1000
	alpha[268]	3.591	0.466	0.04402	2.666	4.536	3000	1000
	alpha[269]	1.089	0.5387	0.04037	0.05781	2.185	3000	1000
	alpha[270]	3.586	0.4639	0.04242	2.67	4.496	3000	1000
	alpha[271]	4.904	0.5148	0.04044	3.875	5.917	3000	1000
	alpha[272]	2.896	0.4546	0.04269	2.008	3.789	3000	1000
	alpha[273]	4.34	0.5453	0.04444	3.303	5.393	3000	1000
	alpha[274]	1.225	0.4611	0.04654	0.3662	2.183	3000	1000
	alpha[275]	3.218	0.4713	0.04414	2.352	4.253	3000	1000
	alpha[276]	4.369	0.408	0.03849	3.527	5.158	3000	1000
	alpha[277]	1.423	0.5296	0.04513	0.3755	2.486	3000	1000
	alpha[278]	1.045	0.5475	0.05233	-0.02939	2.067	3000	1000
	alpha[279]	2.964	0.7234	0.04779	1.631	4.359	3000	1000
	alpha[280]	3.444	0.3813	0.0303	2.708	4.2	3000	1000
	alpha[281]	2.059	0.5374	0.05032	1.064	3.164	3000	1000
	alpha[282]	0.8688	0.5529	0.04674	-0.2247	1.992	3000	1000
	alpha[283]	3.983	0.3868	0.03452	3.221	4.763	3000	1000
	alpha[284]	2.559	0.5312	0.04886	1.557	3.596	3000	1000
	alpha[285]	3.902	0.5346	0.04011	2.92	4.959	3000	1000
	alpha[286]	4.263	0.5264	0.03881	3.256	5.334	3000	1000
	alpha[287]	2.931	0.7271	0.04882	1.535	4.401	3000	1000
	alpha[288]	2.024	0.7276	0.05135	0.6761	3.453	3000	1000
	alpha[289]	4.949	0.7411	0.04729	3.539	6.392	3000	1000
	alpha[290]	1.889	0.5193	0.03637	0.9057	2.959	3000	1000
	alpha[291]	1.806	0.5614	0.05618	0.7286	2.95	3000	1000
	alpha[292]	3.807	0.5433	0.04661	2.704	4.849	3000	1000
	alpha[293]	3.829	0.7192	0.04361	2.461	5.285	3000	1000
	alpha[294]	2.842	0.5702	0.0533	1.763	3.978	3000	1000
	alpha[295]	1.942	0.6853	0.04477	0.6383	3.276	3000	1000
	alpha[296]	1.964	0.7245	0.04579	0.5868	3.321	3000	1000
	alpha[297]	2.797	0.6962	0.04158	1.39	4.174	3000	1000
	alpha[298]	2.805	0.7291	0.05313	1.387	4.19	3000	1000
	alpha[299]	1.931	0.7168	0.051	0.5445	3.243	3000	1000
	alpha[300]	3.76	0.7474	0.05232	2.224	5.212	3000	1000
